;player_id;pretty_name;age;height_cm;weight_kg;foot;Nationality;club_name;club_contract_valid_until;release_clause_eur;position;Minutes played;Goals;Assists;Yellow cards;Red cards;SpG;PS%;Aearials Won;MotM;Rating;Tackles;Interceptions;Fouls commited;Clearances;Dribbled past;Blocks;Key Passes;Dribbles;Fouled;Dispossessed;Bad control;Crosses;Long balls;Through balls;Games;market_value_in_eur;missed_games;wiki_views;insta_followers;Play_in_CL;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url;player_positions;overall;potential;wage_eur
623;126683;Tristan Dingome;30;174;71;Left;France;ESTAC Troyes;2023.0;6.64;Midfield;1791;2;5;2;0;0.84;76.4;0.15;2;6.51;0.84;0.44;0.91;0.1;0.46;0;0.99;0.39;0.64;0.69;1.04;0.49;0.94;0.1;19.9;1927882.899;0;4195;0;0;https://cdn.sofifa.net/players/206/506/22_120.png;https://cdn.sofifa.net/teams/294/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/fr.png;CM, CAM;72;72;14000.0
624;126699;Vincent Pajot;30;180;70;Right;France;FC Metz;2022.0;6.48;Midfield;3294;0;4;8;2;0.46;86.48;0.87;2;6.73;2.67;2.16;1.68;1.16;0.77;0.12;0.53;0.29;1.06;0.36;1;0.12;2.22;0;36.6;1071046.055;0;4234;0;0;https://cdn.sofifa.net/players/198/836/22_120.png;https://cdn.sofifa.net/teams/68/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/fr.png;CM, CDM;70;70;11000.0
625;126711;Kevin Malcuit;29;178;77;Right;France;Napoli;2022.0;6.8;Defender;1064;0;1;4;0;0.4;79.31;0.49;0;6.49;1.39;0.73;0.98;0.93;0.13;0.12;0.41;0.86;0.62;0.66;1.1;0.61;0.86;0.05;11.9;3748661.192;48;42309;377619;1;https://cdn.sofifa.net/players/198/949/22_120.png;https://cdn.sofifa.net/teams/48/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/fr.png;RB;74;74;44000.0
626;126716;Paco Alcacer;27;175;70;Right;Spain;Villarreal CF;2025.0;7.77;Attack;4182;22;10;2;0;1.59;75.07;0.5;3;6.62;0.29;0.31;0.29;0.32;0.27;0.03;0.59;0.24;0.45;0.4;1.08;0;0.3;0.04;46.5;12852552.66;14;227041;1601019;1;https://cdn.sofifa.net/players/200/454/22_120.png;https://cdn.sofifa.net/teams/483/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/es.png;ST;81;81;45000.0
627;126719;Juan Bernat;28;170;67;Left;Spain;Paris Saint-Germain;2025.0;7.71;Defender;3088;2;6;11;0;0.27;90.95;0.72;1;7.04;1.99;0.71;0.8;1.42;1.26;0.07;0.77;1.39;0.98;0.53;0.84;0.15;0.36;0.02;34.2;12852552.66;64;143118;1118289;1;https://cdn.sofifa.net/players/205/069/22_120.png;https://cdn.sofifa.net/teams/73/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/es.png;LB;82;82;90000.0
628;126729;Patric;28;184;72;Right;Spain;Lazio;2022.0;6.85;Defender;5082;1;2;15;2;0.38;89.17;0.6;0;6.41;1.19;0.73;0.8;1.9;0.45;0.29;0.25;0.1;0.35;0.06;0.38;0.12;4.75;0.02;56.5;5355230.275;4;1420;135299;1;https://cdn.sofifa.net/players/206/098/22_120.png;https://cdn.sofifa.net/teams/46/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/es.png;CB, RB, RM;74;75;41000.0
629;126737;Juanmi;28;172;69;Right;Spain;Real Betis Balompié;2024.0;7.06;Attack;2407;17;1;7;1;1.36;78.65;0.74;2;6.69;0.99;0.14;1.05;0.19;0.72;0;0.39;0.67;0.37;0.8;1.82;0;0.36;0;26.7;12852552.66;0;53167;107531;0;https://cdn.sofifa.net/players/197/891/22_120.png;https://cdn.sofifa.net/teams/449/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/es.png;LM, ST, LW;75;75;23000.0
630;126751;Inigo Ruiz De Galarreta;27;175;69;Right;Spain;RCD Mallorca;2023.0;6.85;Midfield;1390;0;0;4;0;0.4;82.6;0.8;0;6.68;1.8;0.9;1.1;0.9;0.7;0.1;0.5;1.2;1.5;0.7;0.9;0.1;1.9;0;15.4;2677615.137;2;6738;0;0;https://cdn.sofifa.net/players/205/157/22_120.png;https://cdn.sofifa.net/teams/453/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/es.png;CDM, CM;73;74;19000.0
631;126964;David Bruno;29;175;64;Right;Portugal;Estoril Praia;2022.0;6.28;Defender;593;0;1;4;0;0.1;76.4;0.3;0;6.22;0.4;0.9;1;0.6;0.4;0.2;0.7;0;0.2;0.2;0.3;0.7;0.8;0;6.6;535523.0275;1;3560;0;0;https://cdn.sofifa.net/players/205/846/22_120.png;https://cdn.sofifa.net/teams/10020/60.png;https://cdn.sofifa.net/flags/pt.png;0;https://cdn.sofifa.net/flags/pt.png;LB, RB;67;67;3000.0
632;127031;Pierre Sagna;30;183;75;Right;Senegal;Santa Clara;2024.0;6.26;Defender;1532;0;3;5;1;0.24;76.36;0.99;0;6.41;1.15;1.21;0.8;2.1;0.39;0.09;0.13;0.33;0.35;0.18;0.59;0.31;1.45;0;17;267761.5137;0;186;0;0;https://cdn.sofifa.net/players/201/512/22_120.png;https://cdn.sofifa.net/teams/1438/60.png;https://cdn.sofifa.net/flags/pt.png;0;https://cdn.sofifa.net/flags/sn.png;RB;67;67;2000.0
633;127048;Cedric Bakambu;30;182;74;Right;Congo DR;Beijing Guoan FC;2021.0;7.5;Attack;1541;16;6;2;0;2.39;75.06;0.85;2;7.16;0.25;0;1.42;0.36;0.37;0.09;0.91;0.36;1.74;0.93;1.75;0.09;0.18;0;17.1;11781506.6;0;104274;265352;0;https://cdn.sofifa.net/players/198/951/22_120.png;https://cdn.sofifa.net/teams/111768/60.png;https://cdn.sofifa.net/flags/cn.png;0;https://cdn.sofifa.net/flags/cd.png;ST;80;80;30000.0
634;127076;Jerome Roussillon;28;175;80;Left;France;VfL Wolfsburg;2023.0;7.21;Defender;5674;2;3;12;0;0.64;74.65;0.58;1;6.58;1.18;0.81;0.54;1.34;0.44;0.15;0.71;1.29;0.83;0.82;1.4;0.38;0.97;0;63;7497322.385;9;19183;23310;1;https://cdn.sofifa.net/players/202/562/22_120.png;https://cdn.sofifa.net/teams/175/60.png;https://cdn.sofifa.net/flags/de.png;0;https://cdn.sofifa.net/flags/fr.png;LB, LM;77;77;52000.0
635;127108;Florian Lejeune;30;189;81;Right;France;Deportivo Alavés;2024.0;7.27;Defender;5077;3;1;15;1;0.67;76.69;2.54;0;6.67;1.27;1.42;1.19;4.31;0.38;0.63;0.17;0.27;0.42;0.09;0.41;0;4.53;0;56.4;2677615.137;4;38821;46261;0;https://cdn.sofifa.net/players/197/948/22_120.png;https://cdn.sofifa.net/teams/463/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/fr.png;CB;77;77;23000.0
